Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
91,Andris Biedrins,C,GSW,21,2008,2013,6,"$54,000,000 ","$9,000,000 ",,"$76,422,666.05 ",12737111.01,2007-08,2740.0,Andris Biedrins,Andris,1610612744.0,GSW,22.0,76.0,44.0,32.0,0.579,27.3,4.5,7.1,0.626,0.0,0.0,0.0,1.5,2.5,0.62,3.4,6.4,9.8,1.0,1.1,0.7,1.2,0.6,3.4,2.2,10.5,2.7,28.5,27.0,0.0,25.2,111.0,89.0,167.0,158.0,138.0,112.0,179.0,8.0,303.0,374.0,303.0,163.0,135.0,353.0,8.0,24.0,16.0,261.0,191.0,153.0,37.0,100.0,6.0,131.0,136.0,66.0,80.0,26.0,17.0,88.0,2007-08,18.5,0.6402439024390244,5.441285296294161e-05,52.57009345794391
92,Chris Kaman,C,LAC,24,2007,2011,5,"$53,830,000 ","$10,766,000 ",,"$79,122,050.17 ",15824410.03,2006-07,2549.0,Chris Kaman,Chris,1610612746.0,LAC,25.0,75.0,38.0,37.0,0.507,29.0,3.9,8.7,0.451,0.0,0.0,0.0,2.2,3.0,0.741,2.1,5.7,7.8,1.1,2.0,0.5,1.5,0.6,3.3,2.5,10.1,-2.3,25.4,14.0,0.0,23.1,117.0,113.0,119.0,196.0,120.0,139.0,134.0,202.0,303.0,365.0,303.0,113.0,107.0,234.0,47.0,32.0,33.0,236.0,89.0,220.0,22.0,95.0,18.0,115.0,148.0,381.0,94.0,48.0,17.0,107.0,2006-07,13.400000000000002,0.5039920159680639,3.9412552956941494e-05,40.654205607476634
94,Nikola Vucevic,C,ORL,24,2015,2018,4,"$53,000,000 ","$13,250,000 ",Rookie Extension,"$68,139,662.45 ",17034915.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T95,Tyson Chandler,C,PHX,32,2015,2018,4,"$52,000,000 ","$13,000,000 ",,"$66,854,008.44 ",16713502.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T95,Brook Lopez,C,MIL,30,2019,2022,4,"$52,000,000 ","$13,000,000 ",Free Agent,"$61,964,802.50 ",15491200.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Greg Monroe,C,MIL,24,2015,2017,3,"$51,437,513 ","$17,145,838 ",maximum,"$66,130,844.77 ",22043614.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T98,Andrea Bargnani,C,TOR,24,2010,2014,5,"$50,000,000 ","$10,000,000 ",Rookie Extension,"$69,853,278.31 ",13970655.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T98,Mehmet Okur,C,UTA,25,2004,2009,6,"$50,000,000 ","$8,333,333 ",,"$80,651,138.17 ",13441856.36,2003-04,2246.0,Mehmet Okur,Mehmet,1610612765.0,DET,25.0,71.0,48.0,23.0,0.676,22.4,3.5,7.6,0.463,0.3,0.7,0.375,2.3,2.9,0.775,2.3,3.7,5.9,1.0,1.4,0.5,0.9,0.5,1.9,0.0,9.6,3.6,20.9,6.0,0.0,19.5,160.0,50.0,275.0,62.0,181.0,139.0,147.0,129.0,182.0,197.0,73.0,95.0,101.0,158.0,42.0,93.0,71.0,246.0,146.0,247.0,57.0,144.0,222.0,79.0,134.0,36.0,136.0,86.0,19.0,134.0,2003-04,11.799999999999999,0.540784136998648,3.5000700014000274e-05,37.14953271028037
T98,Miles Plumlee,C,MIL,27,2016,2019,4,"$50,000,000 ","$12,500,000 ",,"$63,479,166.67 ",15869791.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T98,Wendell Carter Jr.,C,ORL,22,2022,2025,4,"$50,000,000 ","$12,500,000 ",Rookie Extension,"$52,991,304.35 ",13247826.09,2021-22,1628976.0,Wendell Carter Jr.,Wendell,1610612753.0,ORL,23.0,62.0,16.0,46.0,0.258,29.9,5.8,11.0,0.525,1.1,3.5,0.327,2.3,3.3,0.691,2.2,8.2,10.5,2.8,1.9,0.6,0.7,0.6,2.7,3.0,15.0,-2.2,33.6,33.0,0.0,31.9,192.0,351.0,27.0,527.0,99.0,80.0,107.0,102.0,195.0,190.0,301.0,86.0,64.0,396.0,31.0,10.0,12.0,131.0,77.0,287.0,89.0,125.0,40.0,68.0,90.0,444.0,59.0,15.0,40.0,60.0,2021-22,21.500000000000004,0.602312881464825,6.294243531929463e-05,59.34579439252336
102,Serge Ibaka,C,OKC,23,2013,2016,4,"$49,400,000 ","$12,350,000 ",Rookie Extension,"$64,629,368.83 ",16157342.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T103,Pau Gasol,C,SAS,36,2017,2019,3,"$48,000,000 ","$16,000,000 ",,"$59,671,970.62 ",19890656.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T103,Jusuf Nurkic,C,POR,23,2018,2021,4,"$48,000,000 ","$12,000,000 ",,"$58,246,117.08 ",14561529.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T103,Robert Williams III,C,BOS,23,2022,2025,4,"$48,000,000 ","$12,000,000 ",Rookie Extension,"$50,871,652.17 ",12717913.04,2021-22,1629057.0,Robert Williams III,Robert,1610612738.0,BOS,24.0,61.0,40.0,21.0,0.656,29.6,4.4,6.0,0.736,0.0,0.0,0.0,1.1,1.5,0.722,3.9,5.7,9.6,2.0,1.0,0.9,2.2,0.2,2.2,1.2,10.0,6.1,32.8,25.0,1.0,27.8,203.0,90.0,323.0,109.0,104.0,137.0,273.0,8.0,514.0,556.0,514.0,261.0,259.0,352.0,4.0,42.0,20.0,207.0,212.0,128.0,4.0,456.0,145.0,289.0,187.0,13.0,63.0,26.0,21.0,98.0,2021-22,21.700000000000003,0.7507507507507507,6.382480590788286e-05,60.04672897196261
T103,Brook Lopez,C,MIL,35,2023,2024,2,"$48,000,000 ","$24,000,000 ",Free Agent,"$48,882,352.94 ",24441176.47,2022-23,201572.0,Brook Lopez,Brook,1610612749.0,MIL,35.0,78.0,57.0,21.0,0.731,30.4,6.1,11.5,0.531,1.7,4.7,0.374,1.9,2.4,0.784,2.0,4.7,6.7,1.3,1.4,0.5,2.5,0.3,2.6,2.1,15.9,5.1,33.3,11.0,0.0,31.5,38.0,1.0,327.0,23.0,99.0,79.0,96.0,102.0,103.0,105.0,167.0,129.0,133.0,224.0,43.0,70.0,52.0,291.0,150.0,317.0,3.0,243.0,68.0,134.0,86.0,18.0,67.0,56.0,39.0,76.0,2022-23,19.6,0.6331634278432622,5.764821178776517e-05,55.14018691588784
108,Derrick Favors,C,UTA,22,2014,2017,4,"$46,950,000 ","$11,737,500 ",Rookie Extension,"$60,437,959.44 ",15109489.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
