Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
T173,Jordan Clarkson,SG,LAL,23,2016,2019,4,"$50,000,000 ","$12,500,000 ",,"$63,479,166.67 ",15869791.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T173,Tyler Johnson,SG,MIA,23,2016,2019,4,"$50,000,000 ","$12,500,000 ",,"$63,479,166.67 ",15869791.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T173,Ben Gordon,SG,DET,25,2009,2013,5,"$50,000,000 ","$10,000,000 ",,"$71,025,641.03 ",14205128.21,2008-09,2732.0,Ben Gordon,Ben,1610612741.0,CHI,26.0,82.0,41.0,41.0,0.5,36.6,7.3,16.0,0.455,2.1,5.1,0.41,4.0,4.7,0.864,0.6,2.8,3.5,3.4,2.4,0.9,0.3,0.8,2.2,3.5,20.7,0.3,30.9,0.0,0.0,32.0,1.0,100.0,89.0,204.0,34.0,27.0,23.0,187.0,15.0,18.0,53.0,37.0,44.0,55.0,244.0,165.0,189.0,64.0,34.0,116.0,212.0,47.0,146.0,56.0,24.0,154.0,63.0,229.0,15.0,38.0,2008-09,17.0,0.5728359530661943,4.970687649047098e-05,48.83177570093457
179,Deron Williams,PG,UTA,24,2009,2011,3,"$48,799,957 ","$16,266,652 ",Extension,"$69,320,964.56 ",23106988.19,2008-09,101114.0,Deron Williams,Deron,1610612762.0,UTA,25.0,68.0,39.0,29.0,0.574,36.8,6.8,14.5,0.471,1.0,3.3,0.31,4.8,5.6,0.849,0.4,2.5,2.9,10.7,3.4,1.1,0.3,0.8,2.0,4.9,19.4,2.3,39.6,44.0,0.0,36.7,185.0,122.0,194.0,152.0,27.0,37.0,41.0,155.0,111.0,79.0,221.0,25.0,28.0,73.0,348.0,196.0,237.0,2.0,3.0,68.0,201.0,57.0,197.0,21.0,32.0,69.0,12.0,6.0,15.0,15.0,2008-09,22.5,0.5717991039849092,6.617779414411818e-05,61.915887850467286
180,Courtney Lee,SG,NYK,30,2016,2019,4,"$48,003,340 ","$12,000,835 ",,"$60,944,240.41 ",15236060.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T181,Patty Mills,PG,SAS,28,2017,2020,4,"$48,000,000 ","$12,000,000 ",,"$59,671,970.62 ",14917992.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T181,Isaiah Joe,SG,OKC,25,2024,2027,4,"$48,000,000 ","$12,000,000 ",Free Agent,"$48,000,000.00 ",12000000.0,2023-24,1630198.0,Isaiah Joe,Isaiah,1610612760.0,OKC,24.0,78.0,54.0,24.0,0.692,18.5,2.8,6.2,0.458,1.9,4.5,0.416,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.6,0.3,0.2,1.1,1.2,8.2,4.5,14.8,0.0,0.0,15.4,43.0,18.0,263.0,64.0,268.0,237.0,240.0,265.0,88.0,118.0,51.0,355.0,391.0,86.0,397.0,321.0,344.0,296.0,343.0,258.0,295.0,401.0,384.0,241.0,222.0,44.0,285.0,257.0,38.0,254.0,2023-24,8.600000000000001,0.6299938537185003,2.5294623539529616e-05,29.439252336448597
T181,Ty Lawson,PG,DEN,25,2013,2016,4,"$48,000,000 ","$12,000,000 ",Veteran Extension,"$62,797,767.28 ",15699441.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T181,Kyle Lowry,PG,TOR,27,2014,2017,4,"$48,000,000 ","$12,000,000 ",,"$61,789,607.10 ",15447401.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T181,Kemba Walker,PG,CHA,24,2015,2018,4,"$48,000,000 ","$12,000,000 ",Rookie Extension,"$61,711,392.41 ",15427848.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Kirk Hinrich,SG,CHI,25,2007,2011,5,"$47,750,000 ","$9,550,000 ",Extension,"$70,185,359.38 ",14037071.88,2006-07,2550.0,Kirk Hinrich,Kirk,1610612741.0,CHI,26.0,80.0,48.0,32.0,0.6,35.5,5.9,13.3,0.448,1.8,4.2,0.415,3.0,3.6,0.835,0.4,3.0,3.4,6.3,2.4,1.3,0.3,0.7,3.4,3.5,16.6,4.0,32.3,10.0,0.0,31.1,53.0,50.0,175.0,102.0,52.0,59.0,50.0,206.0,27.0,35.0,37.0,73.0,80.0,83.0,339.0,143.0,176.0,15.0,53.0,35.0,193.0,55.0,11.0,65.0,56.0,28.0,47.0,60.0,17.0,49.0,2006-07,17.5,0.5576457941413598,5.147161766764748e-05,50.23364485981308
187,Mike Miller,SG,MEM,23,2004,2009,6,"$47,528,582 ","$7,921,430 ",Extension,"$76,664,684.68 ",12777447.45,2003-04,2034.0,Mike Miller,Mike,1610612763.0,MEM,24.0,65.0,39.0,26.0,0.6,27.1,4.2,9.5,0.438,1.2,3.3,0.372,1.6,2.2,0.723,0.6,2.7,3.3,3.6,1.6,0.9,0.2,0.5,2.5,0.0,11.1,1.7,22.2,3.0,0.0,21.5,204.0,105.0,235.0,117.0,133.0,109.0,107.0,191.0,48.0,59.0,79.0,149.0,145.0,260.0,264.0,171.0,204.0,65.0,113.0,118.0,243.0,142.0,108.0,79.0,107.0,77.0,126.0,124.0,19.0,119.0,2003-04,11.599999999999998,0.5301872372946121,3.411832942541204e-05,36.44859813084112
188,Devonte' Graham,PG,CHA,26,2021,2024,4,"$47,300,000 ","$11,825,000 ",sign-and-trade,"$53,044,939.27 ",13261234.82,2020-21,1628984.0,Devonte' Graham,Devonte',1610612766.0,CHA,26.0,55.0,23.0,32.0,0.418,30.2,4.6,12.2,0.377,3.3,8.7,0.375,2.4,2.9,0.842,0.4,2.3,2.7,5.4,1.5,0.9,0.1,0.4,1.4,2.4,14.8,1.8,27.5,3.0,0.0,28.1,189.0,234.0,88.0,371.0,96.0,136.0,92.0,453.0,11.0,9.0,166.0,80.0,94.0,138.0,361.0,299.0,320.0,41.0,124.0,131.0,431.0,210.0,346.0,98.0,91.0,113.0,101.0,115.0,29.0,91.0,2020-21,14.299999999999997,0.5491243692490354,4.205966472270621e-05,42.75700934579439
189,Dwyane Wade,SG,CHI,33,2016,2017,2,"$47,000,000 ","$23,500,000 ",,"$59,670,416.67 ",29835208.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Donte DiVincenzo,SG,NYK,26,2023,2026,4,"$46,870,000 ","$11,717,500 ",Free Agent,"$47,731,580.88 ",11932895.22,2022-23,1628978.0,Donte DiVincenzo,Donte,1610612744.0,GSW,26.0,72.0,42.0,30.0,0.583,26.3,3.3,7.5,0.435,2.1,5.3,0.397,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.6,1.3,0.1,0.2,1.8,1.6,9.4,1.7,23.0,4.0,0.0,22.5,102.0,60.0,184.0,137.0,158.0,221.0,193.0,343.0,64.0,74.0,96.0,298.0,323.0,178.0,141.0,146.0,136.0,98.0,122.0,30.0,404.0,346.0,220.0,203.0,197.0,116.0,166.0,118.0,39.0,153.0,2022-23,12.800000000000002,0.5919395465994962,3.7647811779765005e-05,39.25233644859813
191,Charlie Bell,PG,GSW,27,2007,2011,5,"$46,490,272 ","$9,298,054 ",,"$68,333,747.60 ",13666749.52,2006-07,2294.0,Charlie Bell,Charlie,1610612749.0,MIL,28.0,82.0,28.0,54.0,0.341,34.7,5.2,11.9,0.437,1.5,4.4,0.352,1.6,2.0,0.78,0.7,2.2,2.9,3.0,1.3,1.2,0.0,0.6,2.6,2.0,13.5,-3.1,24.0,0.0,0.0,23.5,1.0,223.0,8.0,383.0,62.0,79.0,75.0,239.0,41.0,33.0,133.0,169.0,183.0,185.0,235.0,225.0,226.0,87.0,187.0,45.0,381.0,99.0,120.0,167.0,84.0,414.0,109.0,236.0,17.0,103.0,2006-07,12.199999999999998,0.528169014084507,3.588307060258852e-05,37.85046728971962
192,Chauncey Billups,PG,DET,30,2007,2010,4,"$46,300,000 ","$11,575,000 ",,"$68,054,076.22 ",17013519.05,2006-07,1497.0,Chauncey Billups,Chauncey,1610612765.0,DET,30.0,70.0,48.0,22.0,0.686,36.2,5.0,11.6,0.427,1.6,4.5,0.345,5.5,6.2,0.883,0.3,3.1,3.4,7.2,2.0,1.2,0.2,0.4,2.3,4.6,17.0,5.3,34.2,16.0,0.0,32.0,162.0,50.0,299.0,53.0,45.0,85.0,78.0,271.0,39.0,28.0,148.0,18.0,26.0,35.0,371.0,139.0,182.0,10.0,78.0,40.0,221.0,218.0,178.0,32.0,51.0,20.0,43.0,42.0,17.0,45.0,2006-07,19.7,0.5932439977666109,5.7942335317294576e-05,55.37383177570092
193,Tony Snell,SG,MIL,25,2017,2020,4,"$46,000,000 ","$11,500,000 ",,"$57,185,638.51 ",14296409.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Reed Sheppard,SG,HOU,20,2024,2027,4,"$45,853,025 ","$11,463,256 ",Rookie,"$45,853,025.00 ",11463256.25,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Cade Cunningham,PG,DET,19,2021,2024,4,"$45,599,089 ","$11,399,772 ",Rookie,"$51,137,439.89 ",12784359.97,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T197,Jose Calderon,PG,TOR,26,2008,2012,5,"$45,000,000 ","$9,000,000 ",,"$63,685,555.04 ",12737111.01,2007-08,101181.0,Jose Calderon,Jose,1610612761.0,TOR,26.0,82.0,41.0,41.0,0.5,30.3,4.5,8.6,0.519,1.0,2.2,0.429,1.3,1.5,0.908,0.4,2.5,2.9,8.3,1.5,1.1,0.1,0.4,1.6,1.8,11.2,2.2,29.0,25.0,0.0,25.6,1.0,104.0,86.0,209.0,105.0,111.0,133.0,57.0,107.0,133.0,21.0,190.0,237.0,23.0,325.0,193.0,227.0,6.0,114.0,59.0,355.0,224.0,273.0,172.0,120.0,82.0,76.0,29.0,17.0,84.0,2007-08,17.8,0.6047516198704104,5.235398825623572e-05,50.93457943925233
T197,Bruce Brown Jr.,SG,IND,26,2023,2024,2,"$45,000,000 ","$22,500,000 ",Free Agent,"$45,827,205.88 ",22913602.94,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T197,Aaron Wiggins,SG,OKC,25,2024,2028,5,"$45,000,000 ","$9,000,000 ",Free Agent,"$45,000,000.00 ",9000000.0,2023-24,1630598.0,Aaron Wiggins,Aaron,1610612760.0,OKC,25.0,78.0,55.0,23.0,0.705,15.7,2.7,4.8,0.562,0.8,1.6,0.492,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.7,0.2,0.4,1.2,0.8,6.9,1.2,13.6,0.0,0.0,13.2,43.0,14.0,292.0,50.0,323.0,246.0,305.0,71.0,265.0,338.0,15.0,312.0,324.0,241.0,238.0,358.0,333.0,334.0,295.0,202.0,325.0,210.0,369.0,349.0,259.0,157.0,312.0,257.0,38.0,306.0,2023-24,8.3,0.663972286374134,2.4412252950941368e-05,28.738317757009337
T197,Malcolm Brogdon,PG,IND,28,2023,2024,2,"$45,000,000 ","$22,500,000 ",Veteran Extension,"$45,827,205.88 ",22913602.94,2022-23,1627763.0,Malcolm Brogdon,Malcolm,1610612738.0,BOS,30.0,67.0,46.0,21.0,0.687,26.0,5.3,10.9,0.484,2.0,4.4,0.444,2.4,2.7,0.87,0.6,3.6,4.2,3.7,1.5,0.7,0.3,0.8,1.6,2.5,14.9,2.7,26.9,0.0,0.0,26.7,145.0,32.0,327.0,42.0,163.0,108.0,108.0,196.0,80.0,117.0,30.0,97.0,107.0,88.0,285.0,131.0,161.0,93.0,143.0,204.0,275.0,63.0,275.0,100.0,98.0,67.0,121.0,253.0,39.0,108.0,2022-23,16.4,0.6163136995367307,4.82362588428239e-05,47.66355140186914
201,Scoot Henderson,PG,POR,19,2023,2026,4,"$44,363,603 ","$11,090,901 ",Rookie,"$45,179,110.41 ",11294777.6,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Anthony Edwards,SG,MIN,19,2020,2023,4,"$44,271,137 ","$11,067,784 ",Rookie,"$52,122,934.48 ",13030733.62,2019-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Tyreke Evans,SG,SAC,23,2013,2016,4,"$44,000,004 ","$11,000,001 ",,"$57,564,625.24 ",14391156.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Stephen Curry,PG,GSW,24,2013,2016,4,"$44,000,000 ","$11,000,000 ",Rookie Extension,"$57,564,620.01 ",14391155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Monta Ellis,SG,IND,29,2015,2018,4,"$43,981,000 ","$10,995,250 ",,"$56,544,348.95 ",14136087.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Derrick Rose,PG,NYK,32,2021,2023,3,"$43,562,189 ","$14,520,730 ",Free Agent,"$48,853,143.13 ",16284381.04,2020-21,201565.0,Derrick Rose,Derrick,1610612752.0,NYK,32.0,50.0,28.0,22.0,0.56,25.6,5.7,12.2,0.47,1.0,2.6,0.388,2.2,2.5,0.866,0.4,2.2,2.6,4.2,1.6,1.0,0.4,0.6,1.1,2.0,14.7,2.7,26.6,1.0,0.0,25.2,238.0,177.0,245.0,190.0,172.0,84.0,91.0,198.0,218.0,243.0,136.0,96.0,110.0,95.0,361.0,311.0,330.0,70.0,121.0,95.0,213.0,111.0,396.0,139.0,92.0,75.0,111.0,178.0,29.0,116.0,2020-21,14.499999999999998,0.5526315789473685,4.264791178176504e-05,43.22429906542055
207,Tony Parker,PG,SAS,32,2015,2017,3,"$43,335,939 ","$14,445,313 ",Veteran Extension,"$55,715,023.68 ",18571674.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Dwyane Wade,SG,MIA,24,2007,2009,3,"$43,231,743 ","$14,410,581 ",Extension,"$63,544,197.26 ",21181399.09,2006-07,2548.0,Dwyane Wade,Dwyane,1610612748.0,MIA,25.0,51.0,27.0,24.0,0.529,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.5,10.5,0.807,1.0,3.7,4.7,7.5,4.2,2.1,1.2,0.7,2.3,7.5,27.4,1.9,50.0,15.0,0.0,46.6,295.0,232.0,278.0,171.0,19.0,5.0,12.0,102.0,182.0,168.0,242.0,2.0,1.0,128.0,163.0,94.0,112.0,8.0,1.0,4.0,33.0,59.0,182.0,2.0,4.0,69.0,1.0,45.0,17.0,2.0,2006-07,27.100000000000012,0.5824829931972789,7.970747650247124e-05,72.66355140186916
209,Devin Harris,PG,DAL,24,2008,2012,5,"$43,000,000 ","$8,600,000 ",Rookie Extension,"$60,855,085.93 ",12171017.19,2007-08,2734.0,Devin Harris,Devin,1610612751.0,NJN,25.0,64.0,37.0,27.0,0.578,31.6,5.0,10.8,0.463,0.9,2.6,0.335,3.9,4.7,0.824,0.4,2.3,2.7,5.8,2.5,1.4,0.2,0.7,3.0,4.2,14.8,3.0,28.8,4.0,0.0,27.3,228.0,140.0,211.0,160.0,90.0,88.0,90.0,156.0,113.0,110.0,161.0,41.0,50.0,98.0,313.0,216.0,250.0,25.0,34.0,24.0,289.0,82.0,41.0,37.0,68.0,55.0,78.0,105.0,17.0,79.0,2007-08,15.799999999999997,0.5750699409387628,4.647151766564742e-05,46.261682242990645
210,Landry Shamet,SG,PHX,24,2022,2025,4,"$42,500,000 ","$10,625,000 ",Rookie Extension,"$45,042,608.70 ",11260652.18,2021-22,1629013.0,Landry Shamet,Landry,1610612756.0,PHX,25.0,69.0,53.0,16.0,0.768,20.8,2.8,7.0,0.394,1.8,4.8,0.368,1.0,1.2,0.84,0.2,1.6,1.8,1.6,0.6,0.4,0.1,0.4,1.3,1.0,8.3,2.0,13.9,0.0,0.0,14.6,110.0,5.0,381.0,47.0,254.0,279.0,221.0,448.0,101.0,116.0,155.0,293.0,319.0,144.0,504.0,406.0,447.0,253.0,394.0,403.0,442.0,211.0,377.0,352.0,241.0,123.0,338.0,268.0,40.0,302.0,2021-22,7.2,0.5512752391073327,2.117689412611782e-05,26.168224299065418
T211,Alec Burks,SG,UTA,23,2015,2018,4,"$42,000,000 ","$10,500,000 ",Rookie Extension,"$53,997,468.35 ",13499367.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T211,Jamal Crawford,SG,LAC,35,2016,2018,3,"$42,000,000 ","$14,000,000 ",,"$53,322,500.00 ",17774166.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T214,Josh Richardson,SG,MIA,24,2018,2021,4,"$41,965,056 ","$10,491,264 ",Veteran Extension,"$50,922,949.28 ",12730737.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T214,Norman Powell,SG,TOR,24,2018,2021,4,"$41,965,056 ","$10,491,264 ",Rookie Extension,"$50,922,949.28 ",12730737.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Stephon Castle,PG,SAS,19,2024,2027,4,"$41,351,699 ","$10,337,925 ",Rookie,"$41,351,699.00 ",10337924.75,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Jrue Holiday,PG,PHI,22,2013,2016,4,"$41,000,004 ","$10,250,001 ",Rookie Extension,"$53,639,764.79 ",13409941.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Josh Green,SG,DAL,22,2024,2026,3,"$41,000,000 ","$13,666,667 ",Rookie Extension,"$41,000,000.00 ",13666666.67,2023-24,1630182.0,Josh Green,Josh,1610612742.0,DAL,23.0,57.0,32.0,25.0,0.561,26.4,3.1,6.6,0.479,1.3,3.3,0.385,0.7,1.0,0.684,0.7,2.5,3.2,2.3,1.1,0.8,0.2,0.5,1.9,1.3,8.2,-1.8,17.4,0.0,0.0,17.0,241.0,183.0,242.0,246.0,158.0,222.0,224.0,201.0,172.0,186.0,137.0,324.0,298.0,404.0,263.0,243.0,254.0,175.0,201.0,157.0,386.0,164.0,176.0,204.0,221.0,390.0,234.0,257.0,38.0,226.0,2023-24,9.799999999999999,0.5823863636363635,2.8824105893882578e-05,32.2429906542056
219,Jalen Green,SG,HOU,19,2021,2024,4,"$40,808,448 ","$10,202,112 ",Rookie,"$45,764,939.66 ",11441234.91,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Amen Thompson,PG,HOU,20,2023,2026,4,"$40,008,489 ","$10,002,122 ",Rookie,"$40,743,939.17 ",10185984.79,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T221,Mike Conley,PG,MEM,23,2011,2015,5,"$40,000,000 ","$8,000,000 ",Rookie Extension,"$54,192,974.66 ",10838594.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T221,George Hill,PG,IND,25,2012,2016,5,"$40,000,000 ","$8,000,000 ",,"$53,083,623.69 ",10616724.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T221,Patrick Beverley,PG,LAC,30,2019,2021,3,"$40,000,000 ","$13,333,333 ",Free Agent,"$47,665,232.69 ",15888410.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T221,Iman Shumpert,SG,CLE,24,2015,2018,4,"$40,000,000 ","$10,000,000 ",,"$51,426,160.34 ",12856540.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Ja Morant,PG,MEM,19,2019,2022,4,"$39,619,840 ","$9,904,960 ",Rookie,"$47,212,222.32 ",11803055.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Kentavious Caldwell-Pope,SG,LAL,27,2020,2022,3,"$39,116,585 ","$13,038,862 ",Free Agent,"$46,054,186.44 ",15351395.48,2019-20,203484.0,Kentavious Caldwell-Pope,Kentavious,1610612747.0,LAL,27.0,69.0,51.0,18.0,0.739,25.5,3.4,7.3,0.467,1.3,3.5,0.385,1.1,1.5,0.775,0.6,1.5,2.1,1.6,0.9,0.8,0.2,0.2,1.9,1.3,9.3,2.2,16.4,0.0,0.0,16.4,37.0,7.0,305.0,46.0,165.0,193.0,201.0,174.0,141.0,159.0,109.0,219.0,226.0,244.0,285.0,395.0,375.0,221.0,273.0,146.0,325.0,345.0,240.0,263.0,192.0,90.0,254.0,239.0,29.0,239.0,2019-20,8.799999999999999,0.5841708542713568,2.5882870598588443e-05,29.906542056074763
227,Cole Anthony,PG,ORL,23,2024,2026,3,"$39,100,000 ","$13,033,333 ",Rookie Extension,"$39,100,000.00 ",13033333.33,2023-24,1630175.0,Cole Anthony,Cole,1610612753.0,ORL,24.0,81.0,47.0,34.0,0.58,22.4,4.1,9.4,0.435,1.1,3.4,0.338,2.2,2.7,0.826,0.8,3.0,3.8,2.9,1.6,0.8,0.5,0.4,2.2,2.0,11.6,1.4,22.7,3.0,0.0,22.0,18.0,45.0,113.0,207.0,213.0,157.0,137.0,352.0,198.0,181.0,288.0,96.0,100.0,161.0,233.0,173.0,193.0,130.0,111.0,172.0,191.0,232.0,117.0,124.0,146.0,150.0,169.0,135.0,38.0,165.0,2023-24,12.199999999999998,0.5477899508877975,3.588307060258852e-05,37.85046728971962
228,Jamaal Tinsley,PG,IND,26,2005,2010,6,"$39,000,000 ","$6,500,000 ",Rookie Extension,"$60,846,390.17 ",10141065.03,2004-05,2224.0,Jamaal Tinsley,Jamaal,1610612754.0,IND,27.0,40.0,22.0,18.0,0.55,32.5,5.5,13.1,0.418,1.5,3.9,0.372,3.1,4.1,0.744,0.7,3.4,4.0,6.4,3.4,2.0,0.3,0.7,2.8,0.0,15.4,2.6,33.5,4.0,0.0,31.9,330.0,276.0,337.0,160.0,84.0,70.0,54.0,292.0,38.0,44.0,97.0,67.0,65.0,237.0,273.0,122.0,154.0,12.0,6.0,4.0,189.0,68.0,81.0,81.0,65.0,47.0,45.0,112.0,14.0,46.0,2004-05,16.1,0.5166398282340311,4.7648011783765094e-05,47.19626168224299
229,Manu Ginobili,SG,SAS,32,2010,2012,3,"$38,943,114 ","$12,981,038 ",Veteran Extension,"$54,406,083.61 ",18135361.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Jameer Nelson,PG,ORL,25,2008,2012,5,"$38,500,000 ","$7,700,000 ",Rookie Extension,"$54,486,530.42 ",10897306.08,2007-08,2749.0,Jameer Nelson,Jameer,1610612753.0,ORL,26.0,69.0,42.0,27.0,0.609,28.4,4.1,8.7,0.469,0.9,2.2,0.416,1.8,2.2,0.828,0.4,3.1,3.5,5.6,2.0,0.9,0.1,0.5,2.4,2.1,10.9,3.4,24.4,3.0,0.0,22.9,199.0,99.0,211.0,136.0,124.0,129.0,128.0,141.0,109.0,135.0,34.0,136.0,160.0,94.0,334.0,133.0,175.0,26.0,69.0,98.0,374.0,155.0,111.0,140.0,125.0,51.0,109.0,127.0,17.0,110.0,2007-08,13.999999999999998,0.5637153496069508,4.1177294134117984e-05,42.05607476635514
231,Matthew Dellavedova,PG,MIL,25,2016,2019,4,"$38,430,000 ","$9,607,500 ",sign-and-trade,"$48,790,087.50 ",12197521.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Jeremy Lin,PG,BKN,27,2016,2018,3,"$38,300,000 ","$12,766,667 ",,"$48,625,041.67 ",16208347.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Josh Hart,SG,NOP,26,2021,2023,3,"$37,920,000 ","$12,640,000 ",Free Agent,"$42,525,668.02 ",14175222.67,2020-21,1628404.0,Josh Hart,Josh,1610612740.0,NOP,26.0,47.0,21.0,26.0,0.447,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.5,1.9,0.775,1.1,6.9,8.0,2.3,1.0,0.8,0.3,0.5,2.4,1.4,9.2,0.0,24.5,7.0,0.0,23.0,256.0,264.0,181.0,327.0,121.0,227.0,216.0,284.0,163.0,147.0,304.0,178.0,182.0,263.0,128.0,21.0,28.0,152.0,211.0,152.0,305.0,144.0,87.0,220.0,204.0,230.0,137.0,70.0,29.0,149.0,2020-21,15.100000000000001,0.5653883972468043,4.4412652958941535e-05,44.626168224299064
